,away_FT_goals,away_atk,away_corners,away_def,away_formation,away_fouls,away_gk,away_mid,away_red,away_shots,away_shots_target,away_team,away_yellow,date,home_FT_goals,home_atk,home_corners,home_def,home_formation,home_fouls,home_gk,home_mid,home_red,home_shots,home_shots_target,home_team,home_yellow,B365A,B365H,B365D
634,0,"['Paul Heffernan', 'William Gross']",5,"['Mohamadou Sissoko', 'Ryan O´Leary', 'Ross Barbour', 'Jeroen Tesselaar']",4-4-2,7,['Cameron Bell'],"['James Fowler', 'Sammy Clingan', 'James Dayton', 'Jude Winchester']",0,4,3,Kilmarnock,2,2013-03-09,0,"['Steven MacLean', 'Rowan Vine']",11,"['David McCracken', 'Callum Davidson', 'David Mackay', 'Steven Anderson']",4-4-2,10,['Alan Mannus'],"['Liam Craig', 'Nigel Hasselbaink', 'Chris Millar', 'Murray Davidson']",0,9,6,St Johnstone,1,4.0,1.91,3.5
635,0,"['Rory Boulding', 'Stuart Armstrong', 'Gary Mackay-Steven']",3,"['Sean Dillon', 'Brian McLean', 'Barry Douglas', 'Keith Watson']",4-3-3,10,['Radoslaw Cierzniak'],"['Richie Ryan', 'Willo Flood', 'John Rankin']",1,10,2,Dundee United,0,2013-03-09,0,"['Steven Thompson', 'Esmael Goncalves']",6,"['Graham Carey', 'David Van Zanten', 'Marc McAusland', 'Paul Dummett']",4-4-2,11,['Craig Samson'],"['Conor Newton', 'Gary Teale', 'Paul McGowan', 'John McGinn']",0,18,9,St Mirren,2,2.6,2.7,3.25
636,0,"['John Sutton', 'Michael Ngoo']",5,"['Danny Wilson', 'Kevin McHattie', 'Fraser Mullen', 'Andy Webster']",4-4-2,20,['Jamie MacDonald'],"['Arvydas Novikovas', 'Ryan Stevenson', 'Mehdi Taouil', 'Callum Tapping']",0,12,6,Hearts,3,2013-03-10,0,['Leigh Griffiths'],6,"['Lewis Stevenson', 'Ryan McGivern', 'James McPake', 'Alan Maybury']",4-5-1,12,['Ben Williams'],"['David Wotherspoon', 'Tom Taiwo', 'Jorge Aaron Claros Juarez', 'Scott Robertson', 'Matt Done']",0,7,3,Hibernian,1,2.6,2.7,3.25
637,1,"['Leigh Griffiths', 'David Wotherspoon', 'Matt Done']",4,"['Alan Maybury', 'James McPake', 'Ryan McGivern', 'Lewis Stevenson']",4-3-3,12,['Ben Williams'],"['Jorge Aaron Claros Juarez', 'Tom Taiwo', 'Scott Robertson']",0,8,5,Hibernian,1,2013-03-15,0,"['Michael Higdon', 'Henrik Ojamaa']",3,"['Simon Ramsden', 'Steven Hammell', 'Tom Hateley', 'Shaun Hutchinson']",4-4-2,13,['Darren Randolph'],"['Nicholas Law', 'Kallum Higginbotham', 'James McFadden', 'Keith Lasley']",0,13,10,Motherwell,1,3.6,2.05,3.4
638,1,['Sam Morrow'],6,"['Grant Munro', 'Michael Kovacevic', 'Evangelos Ikonomou', 'Scott Boyd']",4-5-1,13,['Michael Fraser'],"['Stuart Kettlewell', 'Ivan Sproule', 'Iain Vigurs', 'Paul Lawson', 'Rocco Quinn']",0,8,3,Ross County,3,2013-03-16,1,['Billy McKay'],3,"['Charlie Taylor', 'Josh Meekings', 'Gary Warren', 'David Raven']",4-1-4-1,10,['Ryan Esson'],"['Aaron Doran', 'Ross Draper', 'Owain Tudor Jones', 'Richie Foran', 'Andrew Shinnie']",0,5,3,Inverness C,0,3.25,2.2,3.3
639,1,"['Niall McGinn', 'Scott Vernon']",6,"['Mark Reynolds', 'Josh Magennis', 'Russell Anderson', 'Joe Shaughnessy']",4-4-2,10,['Jamie Langfield'],"['Stephen Hughes', 'Jonathan Hayes', 'Gavin Rae', 'Ryan Jack']",0,6,5,Aberdeen,5,2013-03-16,1,"['Gary Hooper', 'Anthony Stokes']",9,"['Emilio Izaguirre', 'Mikael Lustig', 'Efe Ambrose', 'Kelvin Wilson']",4-4-2,8,['Fraser Forster'],"['Joseph Ledley', 'Charles Mulgrew', 'Biram Kayal', 'Kris Commons']",0,18,13,Celtic,1,9.5,1.29,5.5
640,0,['John Baird'],2,"['Lewis Toshney', 'Gary Irvine', 'Davide Grassi', 'Brian Easton']",4-4-1-1,14,['Steve Simonsen'],"['Jim McAllister', 'Ryan Conroy', 'Gary Harkins', 'Nicholas Riley', 'Iain Davidson']",1,5,3,Dundee FC,4,2013-03-17,0,"['Jon Daly', 'Rory Boulding']",6,"['Brian McLean', 'Sean Dillon', 'Barry Douglas', 'Keith Watson']",4-4-2,10,['Radoslaw Cierzniak'],"['Gary Mackay-Steven', 'Mark Millar', 'Richie Ryan', 'Stuart Armstrong']",0,21,9,Dundee United,2,5.5,1.62,3.8
641,1,"['Michael Higdon', 'Henrik Ojamaa']",7,"['Steven Hammell', 'Tom Hateley', 'Simon Ramsden', 'Shaun Hutchinson']",4-4-2,4,['Darren Randolph'],"['James McFadden', 'Chris Humphrey', 'Nicholas Law', 'Keith Lasley']",0,5,5,Motherwell,1,2013-03-30,0,['John Baird'],6,"['Lewis Toshney', 'Brian Easton', 'Kyle Benedictus', 'Davide Grassi']",4-4-1-1,6,['Steve Simonsen'],"['Jim McAllister', 'Ryan Conroy', 'Gary Harkins', 'Nicholas Riley', 'Iain Davidson']",0,4,1,Dundee FC,1,1.83,4.2,3.6
642,0,['Billy McKay'],3,"['Daniel Devine', 'Josh Meekings', 'David Raven', 'Graeme Shinnie']",4-4-1-1,11,['Antonio Reguero Chapinal'],"['Richie Foran', 'Owain Tudor Jones', 'Ross Draper', 'Aaron Doran', 'Andrew Shinnie']",0,9,5,Inverness C,1,2013-03-30,0,"['Leigh Griffiths', 'Eoin Doyle']",9,"['Ryan McGivern', 'Lewis Stevenson', 'Tim Clancy', 'James McPake']",4-4-2,16,['Ben Williams'],"['Alex Harris', 'Gary Deegan', 'Tom Taiwo', 'Kevin Thomson']",0,9,4,Hibernian,2,2.7,2.5,3.4
643,1,['Kris Boyd'],2,"['Jeroen Tesselaar', 'Ross Barbour', ""Mark O'Hara"", 'Mohamadou Sissoko']",4-1-4-1,11,['Cameron Bell'],"['William Gross', 'James Dayton', 'Sammy Clingan', 'Rory McKenzie', 'James Fowler']",0,5,2,Kilmarnock,1,2013-03-30,0,['Sam Morrow'],10,"['Evangelos Ikonomou', 'Scott Boyd', 'Grant Munro', 'Michael Kovacevic']",4-1-4-1,8,['Michael Fraser'],"['Richard Brittain', 'Paul Lawson', 'Iain Vigurs', 'Rocco Quinn', 'Martin Scott']",0,16,7,Ross County,1,3.25,2.1,3.5
644,0,"['John Sutton', 'Michael Ngoo']",5,"['Dylan McGowan', 'Andy Webster', 'Danny Wilson', 'Kevin McHattie']",4-4-2,12,['Jamie MacDonald'],"['Ryan Stevenson', 'Mehdi Taouil', 'Callum Tapping', 'Jamie Walker']",0,13,7,Hearts,3,2013-03-30,1,"['Niall McGinn', 'Scott Vernon']",7,"['Clark Robertson', 'Joe Shaughnessy', 'Russell Anderson', 'Mark Reynolds']",4-4-2,9,['Jamie Langfield'],"['Ryan Jack', 'Gavin Rae', 'Josh Magennis', 'Jonathan Hayes']",0,13,8,Aberdeen,1,2.9,2.4,3.25
645,1,"['Gary Hooper', 'Georgios Samaras']",4,"['Victor Wanyama', 'Kelvin Wilson', 'Efe Ambrose', 'Emilio Izaguirre']",4-4-2,10,['Fraser Forster'],"['Kris Commons', 'Charles Mulgrew', 'Biram Kayal', 'Joseph Ledley']",1,5,2,Celtic,1,2013-03-31,0,"['Esmael Goncalves', 'Steven Thompson']",9,"['David Van Zanten', 'Marc McAusland', 'Jim Goodwin', 'Paul Dummett']",4-4-2,4,['Craig Samson'],"['Gary Teale', 'Conor Newton', 'Paul McGowan', 'John McGinn']",0,10,3,St Mirren,1,1.44,7.0,4.5
646,1,['Jon Daly'],2,"['Barry Douglas', 'Keith Watson', 'Brian McLean', 'Sean Dillon']",4-5-1,12,['Radoslaw Cierzniak'],"['Willo Flood', 'Ryan Gauld', 'Stuart Armstrong', 'Michael Gardyne', 'Mark Millar']",1,5,2,Dundee United,2,2013-04-01,0,"['Steven MacLean', 'Gregory Tade']",8,"['David Mackay', 'Steven Anderson', 'Frazer Wright', 'Thomas Scobbie']",4-4-2,10,['Alan Mannus'],"['Murray Davidson', 'Rowan Vine', 'Chris Millar', 'Liam Craig']",0,19,9,St Johnstone,2,2.8,2.4,3.4
647,1,"['Esmael Goncalves', 'Steven Thompson']",5,"['David Van Zanten', 'Marc McAusland', 'Paul Dummett', 'Jim Goodwin']",4-4-2,10,['Craig Samson'],"['Paul McGowan', 'Gary Teale', 'John McGinn', 'Conor Newton']",0,9,3,St Mirren,3,2013-04-03,0,"['Paul Heffernan', 'Kris Boyd']",9,"[""Mark O'Hara"", 'Ross Barbour', 'Mohamadou Sissoko', 'Jeroen Tesselaar']",4-4-2,2,['Cameron Bell'],"['James Fowler', 'Perez Pinas Diaz Borja', 'Garry Hay', 'Sammy Clingan']",0,11,4,Kilmarnock,1,2.8,2.38,3.3
648,0,['Steven MacLean'],2,"['Frazer Wright', 'David Mackay', 'Callum Davidson', 'Steven Anderson']",4-1-4-1,13,['Alan Mannus'],"['Mehdi Abeid', 'Chris Millar', 'Gregory Tade', 'Liam Craig', 'Rowan Vine']",0,13,5,St Johnstone,2,2013-04-05,0,['Billy McKay'],3,"['Daniel Devine', 'Graeme Shinnie', 'David Raven', 'Josh Meekings']",4-4-1-1,12,['Antonio Reguero Chapinal'],"['Andrew Shinnie', 'Richie Foran', 'Aaron Doran', 'Ross Draper', 'Owain Tudor Jones']",0,9,6,Inverness C,0,2.9,2.38,3.4
649,1,['John Baird'],1,"['Kyle Benedictus', 'Lewis Toshney', 'Matthew Lockwood', 'Declan Gallacher']",4-4-1-1,7,['Steve Simonsen'],"['Iain Davidson', 'Brian Easton', 'Kevin McBride', 'Gary Harkins', 'Jim McAllister']",0,6,3,Dundee FC,3,2013-04-06,0,"['Kris Boyd', 'Paul Heffernan']",6,"['Jeroen Tesselaar', 'Ross Barbour', ""Mark O'Hara"", 'Mohamadou Sissoko']",4-4-2,8,['Cameron Bell'],"['Perez Pinas Diaz Borja', 'James Fowler', 'Garry Hay', 'Sammy Clingan']",0,6,2,Kilmarnock,0,5.0,1.67,3.75
650,0,['Leigh Griffiths'],1,"['James McPake', 'Paul Hanlon', 'Ryan McGivern', 'Tim Clancy']",4-5-1,6,['Ben Williams'],"['Kevin Thomson', 'Jorge Aaron Claros Juarez', 'Alex Harris', 'David Wotherspoon', 'Gary Deegan']",0,1,1,Hibernian,0,2013-04-06,1,"['Anthony Stokes', 'Gary Hooper']",4,"['Mikael Lustig', 'Efe Ambrose', 'Kelvin Wilson', 'Emilio Izaguirre']",4-4-2,8,['Fraser Forster'],"['Kris Commons', 'Victor Wanyama', 'Joseph Ledley', 'Charles Mulgrew']",0,8,8,Celtic,0,11.0,1.25,5.75
651,1,['Steffen Wohlfarth'],3,"['Scott Boyd', 'Grant Munro', 'Evangelos Ikonomou', 'Michael Kovacevic']",4-5-1,11,['Michael Fraser'],"['Ivan Sproule', 'Richard Brittain', 'Paul Lawson', 'Iain Vigurs', 'Rocco Quinn']",0,15,9,Ross County,2,2013-04-06,0,"['Michael Ngoo', 'Dale Carrick']",10,"['Danny Wilson', 'Brad McKay', 'Jamie Hamill', 'Kevin McHattie']",4-4-2,9,['Jamie MacDonald'],"['Jamie Walker', 'Mehdi Taouil', 'Callum Tapping', 'Ryan Stevenson']",0,15,5,Hearts,2,3.25,2.2,3.3
652,0,"['Josh Magennis', 'Scott Vernon']",7,"['Mark Reynolds', 'Gary Naysmith', 'Joe Shaughnessy', 'Russell Anderson']",4-4-2,5,['Jamie Langfield'],"['Jonathan Hayes', 'Ryan Jack', 'Niall McGinn', 'Gavin Rae']",0,6,4,Aberdeen,1,2013-04-06,0,"['Ryan Gauld', 'Jon Daly']",4,"['John Souttar', 'Barry Douglas', 'Keith Watson', 'Sean Dillon']",4-4-2,6,['Radoslaw Cierzniak'],"['Michael Gardyne', 'Mark Millar', 'Willo Flood', 'John Rankin']",0,6,3,Dundee United,2,3.1,2.3,3.25
653,1,['Steven Thompson'],2,"['Jim Goodwin', 'Paul Dummett', 'David Van Zanten', 'Marc McAusland']",4-4-1-1,6,['Craig Samson'],"['Conor Newton', 'Dougie Imrie', 'Sander Puri', 'Kenny McLean', 'Paul McGowan']",0,5,4,St Mirren,1,2013-04-06,1,"['Henrik Ojamaa', 'Michael Higdon']",8,"['Tom Hateley', 'Shaun Hutchinson', 'Simon Ramsden', 'Steven Hammell']",4-4-2,9,['Darren Randolph'],"['Chris Humphrey', 'Keith Lasley', 'James McFadden', 'Nicholas Law']",0,16,7,Motherwell,0,4.0,1.91,3.4
654,2,['Michael Higdon'],4,"['Shaun Hutchinson', 'Simon Ramsden', 'Steven Hammell', 'Tom Hateley']",4-5-1,15,['Darren Randolph'],"['Chris Humphrey', 'Keith Lasley', 'Nicholas Law', 'James McFadden', 'Henrik Ojamaa']",0,9,6,Motherwell,3,2013-04-19,0,['Jon Daly'],4,"['Brian McLean', 'John Souttar', 'Sean Dillon', 'Barry Douglas']",4-5-1,5,['Radoslaw Cierzniak'],"['Willo Flood', 'Stuart Armstrong', 'John Rankin', 'Gary Mackay-Steven', 'Ryan Gauld']",0,13,7,Dundee United,1,2.55,2.63,3.4
655,1,"['Michael Ngoo', 'John Sutton']",0,"['Jamie Hamill', 'Andy Webster', 'Kevin McHattie', 'Danny Wilson']",4-4-2,14,['Jamie MacDonald'],"['Ryan Stevenson', 'Darren Barr', 'Jason Holt', 'Jamie Walker']",0,12,3,Hearts,0,2013-04-20,0,"['Paul Heffernan', 'Kris Boyd']",5,"['Ross Barbour', 'Jeroen Tesselaar', 'Mohamadou Sissoko', 'Ryan O´Leary']",4-4-2,10,['Cameron Bell'],"['Sammy Clingan', 'Ibrahim Rabiu', ""Mark O'Hara"", 'James Fowler']",0,9,3,Kilmarnock,2,2.4,2.9,3.25
656,1,"['Gary Harkins', 'John Baird']",6,"['Kyle Benedictus', 'Matthew Lockwood', 'Declan Gallacher']",3-5-2,8,['Steve Simonsen'],"['Lewis Toshney', 'Brian Easton', 'Kevin McBride', 'Jim McAllister', 'Iain Davidson']",0,12,4,Dundee FC,1,2013-04-20,0,"['Lewis Guy', 'Steven Thompson']",7,"['Paul Dummett', 'Jim Goodwin', 'Marc McAusland', 'David Van Zanten']",4-4-2,10,['Craig Samson'],"['Paul McGowan', 'Conor Newton', 'Gary Teale', 'Kenny McLean']",1,10,7,St Mirren,1,5.0,1.73,3.5
657,0,"['Billy McKay', 'Andrew Shinnie']",5,"['Josh Meekings', 'Gary Warren', 'David Raven', 'Graeme Shinnie']",4-4-2,7,['Antonio Reguero Chapinal'],"['Aaron Doran', 'Ross Draper', 'Richie Foran', 'Owain Tudor Jones']",0,3,3,Inverness C,1,2013-04-21,0,"['Gary Hooper', 'Anthony Stokes']",6,"['Charles Mulgrew', 'Mikael Lustig', 'Efe Ambrose', 'Kelvin Wilson']",4-4-2,13,['Fraser Forster'],"['Kris Commons', 'James Forrest', 'Victor Wanyama', 'Joseph Ledley']",0,19,10,Celtic,1,8.5,1.36,4.6
658,1,['Steffen Wohlfarth'],7,"['Michael Kovacevic', 'Grant Munro', 'Andrew Hainault', 'Evangelos Ikonomou']",4-5-1,14,['Michael Fraser'],"['Richard Brittain', 'Paul Lawson', 'Iain Vigurs', 'Rocco Quinn', 'Ivan Sproule']",0,15,8,Ross County,3,2013-04-21,2,"['Steven MacLean', 'Mehdi Abeid']",4,"['Frazer Wright', 'Thomas Scobbie', 'David Mackay', 'Steven Anderson']",4-4-2,16,['Alan Mannus'],"['Chris Millar', 'Rowan Vine', 'Gregory Tade', 'Murray Davidson']",0,9,7,St Johnstone,1,3.2,2.2,3.4
659,0,"['Niall McGinn', 'Josh Magennis']",3,"['Clark Robertson', 'Russell Anderson', 'Mark Reynolds', 'Joe Shaughnessy']",4-4-2,12,['Jamie Langfield'],"['Jonathan Hayes', 'Robert Milsom', 'Gavin Rae', 'Ryan Jack']",0,4,1,Aberdeen,1,2013-04-22,0,"['Eoin Doyle', 'Leigh Griffiths']",6,"['Tim Clancy', 'James McPake', 'Paul Hanlon', 'Lewis Stevenson']",4-4-2,7,['Ben Williams'],"['Daniel Handling', 'Tom Taiwo', 'Kevin Thomson', 'Alex Harris']",0,12,7,Hibernian,1,2.5,2.8,3.25
660,0,['Jon Daly'],5,"['Barry Douglas', 'Brian McLean', 'John Souttar', 'Sean Dillon']",4-5-1,11,['Radoslaw Cierzniak'],"['Stuart Armstrong', 'John Rankin', 'Ryan Gauld', 'Gary Mackay-Steven', 'Willo Flood']",1,4,2,Dundee United,2,2013-04-26,0,['Steffen Wohlfarth'],2,"['Grant Munro', 'Andrew Hainault', 'Michael Kovacevic', 'Evangelos Ikonomou']",4-1-4-1,10,['Michael Fraser'],"['Rocco Quinn', 'Richard Brittain', 'Ivan Sproule', 'Paul Lawson', 'Iain Vigurs']",0,17,7,Ross County,1,3.0,2.38,3.25
661,0,['Billy McKay'],3,"['Graeme Shinnie', 'David Raven', 'Daniel Devine', 'Josh Meekings']",4-5-1,9,['Antonio Reguero Chapinal'],"['Aaron Doran', 'Richie Foran', 'Ross Draper', 'Owain Tudor Jones', 'Charlie Taylor']",1,6,3,Inverness C,3,2013-04-27,0,['Steven MacLean'],9,"['David Mackay', 'Steven Anderson', 'Frazer Wright', 'Thomas Scobbie']",4-4-1-1,12,['Alan Mannus'],"['Liam Craig', 'Gregory Tade', 'Chris Millar', 'Mehdi Abeid', 'Rowan Vine']",0,16,6,St Johnstone,1,3.1,2.3,3.25
662,0,"['Esmael Goncalves', 'Steven Thompson']",5,"['David Van Zanten', 'Marc McAusland', 'Paul Dummett', 'Graham Carey']",4-4-2,6,['Craig Samson'],"['Paul McGowan', 'Conor Newton', 'Gary Teale', 'John McGinn']",0,11,5,St Mirren,1,2013-04-27,1,"['Eoin Doyle', 'Leigh Griffiths']",6,"['James McPake', 'Paul Hanlon', 'Ryan McGivern', 'Alan Maybury']",4-4-2,10,['Ben Williams'],"['Jorge Aaron Claros Juarez', 'Alex Harris', 'Daniel Handling', 'Tom Taiwo']",0,13,7,Hibernian,1,3.1,2.25,3.4
663,0,"['Paul Heffernan', 'Christopher Johnston']",3,"['Ross Barbour', 'James Fowler', 'Jeroen Tesselaar', 'Mohamadou Sissoko']",4-4-2,10,['Cameron Bell'],"['Sammy Clingan', 'Jude Winchester', ""Mark O'Hara"", 'William Gross']",0,6,2,Kilmarnock,1,2013-04-27,1,"['Jonathan Hayes', 'Scott Vernon', 'Niall McGinn']",7,"['Joe Shaughnessy', 'Clark Robertson', 'Mark Reynolds', 'Isaac Osbourne']",4-3-3,16,['Jamie Langfield'],"['Craig Storie', 'Ryan Jack', 'Stephen Hughes']",0,9,7,Aberdeen,3,4.2,1.91,3.3
664,0,"['Michael Ngoo', 'John Sutton']",4,"['Darren Barr', 'Andy Webster', 'Dylan McGowan', 'Kevin McHattie']",4-4-2,9,['Jamie MacDonald'],"['Jamie Walker', 'Jason Holt', 'Jamie Hamill', 'Ryan Stevenson']",1,1,1,Hearts,3,2013-04-27,0,"['John Baird', 'Carl Finnigan']",10,"['Matthew Lockwood', 'Kyle Benedictus', 'Declan Gallacher']",3-5-2,7,['Steve Simonsen'],"['Jim McAllister', 'Kevin McBride', 'Iain Davidson', 'Lewis Toshney', 'Brian Easton']",1,4,2,Dundee FC,1,2.1,3.5,3.25
665,1,"['Georgios Samaras', 'Gary Hooper']",5,"['Charles Mulgrew', 'Emilio Izaguirre', 'Mikael Lustig', 'Thomas Rogne']",4-4-2,9,['Fraser Forster'],"['Tomas Rogic', 'Victor Wanyama', 'Biram Kayal', 'Anthony Watt']",0,18,9,Celtic,2,2013-04-28,1,"['Henrik Ojamaa', 'Michael Higdon']",4,"['Simon Ramsden', 'Shaun Hutchinson', 'Tom Hateley', 'Steven Hammell']",4-4-2,13,['Darren Randolph'],"['Nicholas Law', 'Keith Lasley', 'Chris Humphrey', 'James McFadden']",0,12,7,Motherwell,3,1.8,4.33,3.6
666,1,"['Steven MacLean', 'Rowan Vine', 'Gregory Tade']",6,"['Steven Anderson', 'David Mackay', 'Frazer Wright', 'Thomas Scobbie']",4-3-3,5,['Alan Mannus'],"['Liam Craig', 'Murray Davidson', 'Chris Millar']",1,5,4,St Johnstone,0,2013-05-04,0,['Jon Daly'],3,"['Sean Dillon', 'Brian McLean', 'John Souttar', 'Luke Johnston']",4-4-1-1,8,['Radoslaw Cierzniak'],"['Stuart Armstrong', 'Michael Gardyne', 'Willo Flood', 'Mark Millar', 'Gary Mackay-Steven']",0,3,1,Dundee United,1,2.63,2.55,3.4
667,1,['Michael Higdon'],6,"['Steven Hammell', 'Shaun Hutchinson', 'Tom Hateley', 'Simon Ramsden']",4-4-1-1,13,['Darren Randolph'],"['Chris Humphrey', 'James McFadden', 'Nicholas Law', 'Keith Lasley', 'Henrik Ojamaa']",1,8,4,Motherwell,3,2013-05-04,3,['Billy McKay'],4,"['Graeme Shinnie', 'Chris Hogg', 'Daniel Devine', 'Josh Meekings']",4-4-1-1,10,['Antonio Reguero Chapinal'],"['Ross Draper', 'Richie Foran', 'Andrew Shinnie', 'Aaron Doran', 'Nick Ross']",0,12,8,Inverness C,2,2.4,2.88,3.3
668,0,"['Esmael Goncalves', 'Steven Thompson']",6,"['David Van Zanten', 'Marc McAusland', 'Lee Mair', 'Paul Dummett']",4-4-2,16,['Craig Samson'],"['Gary Teale', 'Kenny McLean', 'Conor Newton', 'Paul McGowan']",1,6,4,St Mirren,2,2013-05-04,2,"['Dale Carrick', 'John Sutton']",3,"['Darren Barr', 'Dylan McGowan', 'Jamie Hamill', 'Kevin McHattie']",4-4-2,5,['Jamie MacDonald'],"['Ryan Stevenson', 'Mehdi Taouil', 'Jamie Walker', 'Jason Holt']",0,14,5,Hearts,2,3.4,2.1,3.4
669,1,"['Anthony Stokes', 'Anthony Watt']",7,"['Kelvin Wilson', 'Emilio Izaguirre', 'Mikael Lustig', 'Rami Gershon']",4-4-2,9,['Lukasz Zaluska'],"['Joseph Ledley', 'Efe Ambrose', 'Dylan McGeouch', 'Kris Commons']",0,8,6,Celtic,0,2013-05-05,1,['Steffen Wohlfarth'],4,"['Evangelos Ikonomou', 'Michael Kovacevic', 'Andrew Hainault', 'Grant Munro']",4-5-1,10,['Michael Fraser'],"['Iain Vigurs', 'Ivan Sproule', 'Paul Lawson', 'Richard Brittain', 'Martin Scott']",0,12,7,Ross County,0,1.67,5.0,3.8
670,0,"['Peter Pawlett', 'Niall McGinn', 'Rory Fallon']",7,"['Mark Reynolds', 'Clark Robertson', 'Isaac Osbourne', 'Joe Shaughnessy']",4-3-3,4,['Jamie Langfield'],"['Ryan Jack', 'Stephen Hughes', 'Gavin Rae']",0,4,2,Aberdeen,2,2013-05-05,1,"['John Baird', 'Gary Harkins']",5,"['Gary Irvine', 'Declan Gallacher', 'Matthew Lockwood', 'Lewis Toshney', 'Brian Easton']",5-3-2,11,['Steve Simonsen'],"['Iain Davidson', 'Kevin McBride', 'Jim McAllister']",0,11,7,Dundee FC,1,2.1,3.4,3.4
671,0,"['Gregory Tade', 'Rowan Vine', 'Steven MacLean']",3,"['Steven Anderson', 'David Mackay', 'Thomas Scobbie', 'Frazer Wright']",4-3-3,12,['Alan Mannus'],"['Liam Craig', 'Murray Davidson', 'Patrick Cregg']",0,1,0,St Johnstone,4,2013-05-11,2,"['Gary Hooper', 'Anthony Stokes']",7,"['Emilio Izaguirre', 'Mikael Lustig', 'Kelvin Wilson', 'Charles Mulgrew']",4-4-2,10,['Fraser Forster'],"['Joseph Ledley', 'Victor Wanyama', 'Scott Brown', 'James Forrest']",0,15,8,Celtic,4,7.0,1.44,4.33
672,1,"['Ross Davidson', 'Kris Boyd', 'Rory McKenzie']",10,"['Mohamadou Sissoko', ""Mark O'Hara"", 'Jeroen Tesselaar', 'Ross Barbour']",4-3-3,3,['Cameron Bell'],"['Sammy Clingan', 'Christopher Johnston', 'Jude Winchester']",0,11,10,Kilmarnock,1,2013-05-11,1,"['Gary Harkins', 'John Baird']",4,"['Declan Gallacher', 'Lewis Toshney', 'Gary Irvine', 'Kyle Benedictus']",4-4-2,8,['Steve Simonsen'],"['Kevin McBride', 'Ryan Conroy', 'Jim McAllister', 'Iain Davidson']",0,12,9,Dundee FC,3,2.5,2.75,3.3
673,0,"['Gary Mackay-Steven', 'Johnny Russell']",4,"['John Souttar', 'Ryan Dow', 'Jon Daly', 'Brian McLean']",4-4-2,15,['Radoslaw Cierzniak'],"['Stuart Armstrong', 'Ryan Gauld', 'Willo Flood', 'John Rankin']",0,13,7,Dundee United,2,2013-05-11,1,['Billy McKay'],10,"['Chris Hogg', 'Josh Meekings', 'Graeme Shinnie', 'David Raven']",4-4-1-1,6,['Antonio Reguero Chapinal'],"['Ross Draper', 'Andrew Shinnie', 'Nick Ross', 'Aaron Doran', 'Richie Foran']",0,21,11,Inverness C,1,3.5,2.0,3.6
674,0,"['Scott Vernon', 'Cameron Smith']",4,"['Mark Reynolds', 'Joe Shaughnessy', 'Clark Robertson', 'Isaac Osbourne']",4-4-2,12,['Jamie Langfield'],"['Gavin Rae', 'Niall McGinn', 'Jonathan Hayes', 'Ryan Jack']",0,12,6,Aberdeen,0,2013-05-11,0,"['Esmael Goncalves', 'Sam Parkin']",8,"['Paul Dummett', 'David Van Zanten', 'Marc McAusland', 'Jim Goodwin']",4-4-2,8,['Craig Samson'],"['Gary Teale', 'Conor Newton', 'Jon Robertson', 'Dougie Imrie']",0,7,3,St Mirren,0,2.5,2.8,3.25
675,0,['Leigh Griffiths'],7,"['Alan Maybury', 'Jordan Forster', 'Paul Hanlon', 'Lewis Stevenson']",4-5-1,10,['Ben Williams'],"['Tom Taiwo', 'Alex Harris', 'Ross Caldwell', 'Jorge Aaron Claros Juarez', 'Kevin Thomson']",0,7,5,Hibernian,1,2013-05-12,1,"['John Sutton', 'Michael Ngoo']",5,"['Andy Webster', 'Darren Barr', 'Jamie Hamill', 'Kevin McHattie']",4-4-2,13,['Jamie MacDonald'],"['Jamie Walker', 'Mehdi Taouil', 'Ryan Stevenson', 'Jason Holt']",0,8,4,Hearts,1,3.6,2.05,3.3
676,0,['Steffen Wohlfarth'],6,"['Michael Kovacevic', 'Evangelos Ikonomou', 'Andrew Hainault', 'Grant Munro']",4-1-4-1,7,['Michael Fraser'],"['Paul Lawson', 'Martin Scott', 'Iain Vigurs', 'Richard Brittain', 'Ivan Sproule']",0,9,2,Ross County,2,2013-05-12,2,"['James McFadden', 'Michael Higdon']",2,"['Steven Hammell', 'Simon Ramsden', 'Shaun Hutchinson', 'Tom Hateley']",4-4-2,4,['Darren Randolph'],"['Stewart Carswell', 'Nicholas Law', 'Keith Lasley', 'Chris Humphrey']",0,5,2,Motherwell,0,3.8,1.95,3.4
677,1,"['Eoin Doyle', 'Gary Deegan']",5,"['Alan Maybury', 'Jordan Forster', 'Paul Hanlon', 'Lewis Stevenson']",4-4-2,14,['Sean Murdoch'],"['Kevin Thomson', 'David Wotherspoon', 'Daniel Handling', 'Scott Robertson']",0,8,4,Hibernian,3,2013-05-15,0,"['Paul Heffernan', 'Ibrahim Rabiu']",5,"['Ross Barbour', 'Craig Slater', 'Jeroen Tesselaar', ""Mark O'Hara""]",4-4-2,8,['Cameron Bell'],"['Rory McKenzie', 'Christopher Johnston', 'Lee Ashcroft', 'Sammy Clingan']",0,10,4,Kilmarnock,0,2.8,2.5,3.25
