,away_FT_goals,away_atk,away_corners,away_def,away_formation,away_fouls,away_gk,away_mid,away_red,away_shots,away_shots_target,away_team,away_yellow,date,home_FT_goals,home_atk,home_corners,home_def,home_formation,home_fouls,home_gk,home_mid,home_red,home_shots,home_shots_target,home_team,home_yellow,B365A,B365H,B365D
163,0,,3,,,9,,,1,11,5,Kilmarnock,2,2011-03-04,0,,8,,,14,,,0,13,6,Hearts,3,,,
164,0,,3,,,8,,,0,2,1,Motherwell,0,2011-03-04,1,,1,,,13,,,0,7,6,Inverness C,0,,,
165,0,,3,,,9,,,0,7,5,Hibernian,2,2011-03-04,0,,7,,,9,,,0,10,2,St Johnstone,3,,,
166,1,,5,,,13,,,0,8,3,Rangers,0,2011-03-05,0,,6,,,14,,,0,8,2,St Mirren,1,,,
167,0,,9,,,9,,,0,5,5,Aberdeen,2,2011-03-06,2,,6,,,6,,,0,10,4,Dundee United,0,,,
168,1,,7,,,6,,,0,11,3,Hamilton,1,2011-03-09,1,,8,,,12,,,0,8,5,Dundee United,0,,,
169,0,,11,,,5,,,0,5,0,Kilmarnock,2,2011-03-12,1,,13,,,12,,,0,19,7,Rangers,3,,,
170,0,,2,,,12,,,0,5,1,Hearts,2,2011-03-15,0,,8,,,7,,,0,5,3,Dundee United,3,,,
171,0,,3,,,13,,,0,7,1,St Johnstone,1,2011-03-18,0,,5,,,11,,,1,9,3,Hamilton,2,,,
172,1,,5,,,13,,,0,11,5,Motherwell,4,2011-03-18,2,,8,,,6,,,0,18,12,Kilmarnock,1,,,
173,0,,6,,,14,,,0,4,2,Inverness C,2,2011-03-18,1,,6,,,8,,,0,5,2,Dundee United,0,,,
174,1,,3,,,13,,,0,11,6,St Mirren,3,2011-03-18,0,,4,,,13,,,0,16,7,Hearts,0,,,
175,0,,8,,,10,,,0,6,4,Aberdeen,3,2011-04-01,1,,5,,,7,,,0,8,4,Motherwell,2,,,
176,1,,2,,,11,,,0,8,3,Dundee United,2,2011-04-01,1,,6,,,9,,,0,9,6,Rangers,1,,,
177,0,,2,,,7,,,0,3,1,Kilmarnock,1,2011-04-01,0,,6,,,8,,,0,6,1,St Johnstone,1,,,
178,1,,5,,,17,,,1,3,2,Hamilton,1,2011-04-01,0,,3,,,19,,,0,4,3,St Mirren,2,,,
179,1,,6,,,6,,,1,7,4,Hearts,2,2011-04-02,1,,3,,,12,,,0,18,9,Hibernian,2,,,
180,1,,3,,,9,,,0,10,5,Rangers,1,2011-04-04,0,,4,,,6,,,0,6,5,St Johnstone,2,,,
181,0,,5,,,13,,,0,4,1,Hibernian,4,2011-04-05,3,,4,,,7,,,0,14,7,Celtic,2,,,
182,0,,8,,,16,,,0,12,8,Dundee United,0,2011-04-05,2,,2,,,7,,,0,5,4,Motherwell,0,,,
183,0,,8,,,13,,,0,11,3,Aberdeen,1,2011-04-05,1,,3,,,17,,,0,7,6,St Mirren,2,,,
184,1,,4,,,13,,,0,6,2,Inverness C,1,2011-04-08,1,,7,,,6,,,0,6,5,Kilmarnock,0,,,
185,0,,3,,,5,,,0,4,0,Motherwell,1,2011-04-08,0,,8,,,8,,,0,7,2,Hearts,2,,,
186,0,,5,,,9,,,1,5,2,St Johnstone,3,2011-04-08,1,,7,,,10,,,0,8,2,Dundee United,3,,,
187,0,,3,,,9,,,0,6,1,St Mirren,1,2011-04-08,0,,6,,,7,,,0,11,2,Celtic,0,,,
188,1,,2,,,11,,,0,4,2,Hibernian,2,2011-04-08,0,,8,,,9,,,0,13,4,Aberdeen,1,,,
189,1,,2,,,10,,,0,10,7,Rangers,3,2011-04-09,0,,3,,,9,,,0,6,1,Hamilton,1,,,
190,1,,5,,,17,,,0,12,7,Celtic,1,2011-04-11,0,,3,,,11,,,0,4,2,St Johnstone,2,,,
191,1,,7,,,9,,,0,10,5,Rangers,2,2011-04-12,0,,1,,,16,,,0,8,3,Aberdeen,1,,,
192,0,,8,,,9,,,0,8,7,Hearts,2,2011-04-15,1,,5,,,12,,,1,12,6,Inverness C,4,,,
193,1,,3,,,14,,,0,5,3,St Mirren,2,2011-04-15,1,,4,,,11,,,0,10,3,Rangers,0,,,
194,2,,2,,,8,,,0,6,1,Hamilton,1,2011-04-16,0,,16,,,8,,,0,24,15,Hibernian,1,,,
195,1,,7,,,11,,,0,9,4,Rangers,2,2011-04-18,0,,2,,,14,,,3,2,1,Dundee United,1,,,
196,3,,8,,,5,,,0,16,9,Celtic,2,2011-04-19,0,,1,,,6,,,0,4,4,Kilmarnock,2,,,
197,0,,11,,,14,,,0,10,8,Motherwell,4,2011-04-22,2,,7,,,14,,,0,14,5,Hearts,2,,,
198,0,,6,,,7,,,0,10,9,Kilmarnock,3,2011-04-22,2,,7,,,11,,,0,16,6,Dundee United,3,,,
199,1,,6,,,9,,,0,3,2,St Mirren,3,2011-04-23,1,,2,,,14,,,0,7,2,Hibernian,1,,,
200,0,,8,,,21,,,0,13,9,Celtic,3,2011-04-23,0,,8,,,14,,,0,13,4,Rangers,2,,,
201,0,,6,,,11,,,0,15,9,Aberdeen,1,2011-04-24,0,,8,,,12,,,0,15,9,Hamilton,1,,,
202,1,,5,,,17,,,0,12,7,Inverness C,0,2011-04-24,0,,6,,,11,,,0,19,11,St Johnstone,2,,,
203,0,,6,,,15,,,0,10,5,Inverness C,2,2011-04-29,0,,5,,,21,,,0,11,5,Aberdeen,1,,,
204,0,,4,,,12,,,0,9,3,St Johnstone,1,2011-04-29,1,,6,,,18,,,0,7,3,Hibernian,2,,,
205,0,,4,,,20,,,0,6,2,Hearts,3,2011-04-29,0,,4,,,11,,,0,14,6,Kilmarnock,5,,,
206,1,,2,,,8,,,0,13,10,Rangers,1,2011-04-29,0,,5,,,8,,,0,5,3,Motherwell,3,,,
207,0,,4,,,8,,,0,7,3,Dundee United,1,2011-04-30,1,,10,,,6,,,0,22,15,Celtic,0,,,
208,0,,2,,,14,,,1,19,11,Hamilton,2,2011-05-01,0,,7,,,15,,,1,9,6,St Mirren,1,,,
209,1,,11,,,10,,,0,14,6,Celtic,2,2011-05-03,1,,5,,,16,,,0,9,5,Inverness C,2,,,
210,0,,0,,,8,,,1,6,2,Hearts,3,2011-05-06,3,,10,,,14,,,0,16,9,Rangers,4,,,
211,0,,6,,,11,,,0,10,4,St Mirren,1,2011-05-06,0,,5,,,12,,,1,8,3,Inverness C,0,,,
