"defenders"
"name_and_country","price"
"Norbert Gyömbér (SVK)","€ 10"
"Pavel Kaderábek (CZE)","€ 10"
"Chris Gunter (WAL)","€ 10"
"Ludwig Augustinsson (SWE)","€ 10"
"Victor Nilsson Lindelöf (SWE)","€ 10"
"Erik Johansson (SWE)","€ 10"
"Steve Von Bergen (SUI)","€ 10"
"Fabian Schär (SUI)","€ 10"
"Arlind Ajeti (ALB)","€ 9"
"Ádám Pintér (HUN)","€ 9"
"Attila Fiola (HUN)","€ 9"
"Mihály Korhut (HUN)","€ 9"
"Ádám Lang (HUN)","€ 9"
"Markus Suttner (AUT)","€ 9"
"Mikel San José (ESP)","€ 9"
"Tomáš Sivok (CZE)","€ 9"
"Naser Aliji (ALB)","€ 8"
"Frederic Veseli (ALB)","€ 8"
"Stephen Ward (IRL)","€ 8"
"Domagoj Vida (CRO)","€ 8"
"György Garics (AUT)","€ 8"
"Dušan Švento (SVK)","€ 8"
"David Limberský (CZE)","€ 8"
"Ashley Richards (WAL)","€ 8"
"Michael Lang (SUI)","€ 8"
"Nico Elvedi (SUI)","€ 8"
"Jacques François Moubandje (SUI)","€ 8"
"Gordon Schildenfeld (CRO)","€ 7"
"Kornel Saláta (SVK)","€ 7"

