Player,Season,Rating
Graeme Shinnie,14,69
James McFadden,16,66
Chris Clark,12,63
Josh Magennis,12,61
Thomas Reilly,14,56
Ziggy Gordon,15,62
Jamie Walker,13,61
Dale Keenan,15,53
Gordon Smith,12,60
Saidy Janko,15,64
Josh Magennis,16,63
Andrew Considine,16,64
Shaleum Logan,14,62
Chris Millar,14,60
Jack Baird,15,52
Adam Cummins,13,58
Alan Tate,14,66
Peter Pawlett,12,63
Dan Twardzik,15,58
Sammy Clingan,13,67
Liam Polworth,16,59
Callum Morris,14,58
Richard Foster,15,59
Callum McGregor,16,67
Jason Cummings,14,50
Niall McGinn,13,70
Jason Holt,12,53
Lee Mair,14,59
Dean Brill,14,65
Jamie Murphy,12,71
Jamie Langfield,13,62
Jamie Murphy,13,68
Darian MacKinnon,16,57
Joe Cardle,15,63
Kevin Thomson,14,60
Miles Addison,16,63
Brian McLean,13,61
Chris Millar,12,62
Zaine Francis-Angol,13,55
Igor Rossi,15,64
Clark Robertson,14,60
Filip Twardzik,14,61
Kenny McLean,12,68
Gary Warren,16,66
Daniel Redmond,14,62
Garcia Tena,16,61
Michael McGovern,14,61
Josh Magennis,14,59
Gary Naysmith,13,61
Paul Cairney,14,60
Kallum Higginbotham,16,68
Darren McGregor,13,65
Graham Carey,14,63
Owain Fon Williams,16,62
Martin Woods,14,64
Saidy Janko,16,67
David Barron,13,61
Daniel Devine,14,59
Aleksandar Tonev,14,66
Rocco Quinn,13,63
Darren Randolph,12,70
Derk Boerrigter,13,72
Barry Robson,15,64
Ziggy Gordon,16,64
Mark O'Hara,14,58
Don Cowie,16,66
Carlton Morris,16,59
Thomas Konrad,16,59
Steven Thompson,13,68
Darren O'Dea,16,68
Marcus Fraser,16,59
Gary Fraser,14,57
James Dunne,14,61
Michael Gardyne,15,61
Stephen Pearson,16,64
Kevin Holt,16,56
Paul Cairney,15,60
Darian MacKinnon,16,57
David McCracken,12,60
Rocco Quinn,14,59
Dougie Imrie,16,62
Mark Brown,15,61
Rory McKeown,12,60
Louis Laing,15,63
Craig Gordon,16,74
Raffaele De Vita,15,61
Paul Quinn,16,65
David Syme,15,53
Connor Ripley,16,62
Filip Kiss,15,63
Ryan Christie,14,53
Anthony Stokes,13,73
Rory McKenzie,13,55
Alan Mannus,12,61
Stephen Hughes,13,63
Andrew Robertson,14,65
Brian Easton,16,66
Stephen McGinn,15,60
Scott Bain,16,64
Chris Hogg,13,60
Paul Dixon,16,67
Steve Banks,14,58
Liam Caddis,14,56
Gavin Rae,13,64
Ryan McGowan,15,67
Mathias Pogba,16,62
Nick Ross,16,63
Stuart Bannigan,14,65
Jonathan Franks,16,57
Juan Delgado,16,70
Ryan Scully,16,57
Kris Commons,13,74
Duncan Watmore,14,58
Frazer Wright,14,66
Davide Grassi,13,59
Julen Etxabeguren,16,55
Terry Dunfield,15,63
Conor Townsend,14,57
David Wotherspoon,15,64
Tony Dingwall,14,50
Steven Ross,15,56
Richie Ryan,12,62
Efe Ambrose,14,69
Greg Taylor,16,61
Russell Anderson,13,66
Aaron Doran,12,65
Dario Zanatta,16,53
Jonathan Franks,15,57
Riku Riski,16,65
Steven Ross,14,54
Liam Smith,16,60
Eoin Doyle,12,58
Nicky Low,16,61
Nathan Thomas,15,56
Manuel Pascali,12,67
Jamie Hamill,13,67
Billy McKay,16,67
Murray Davidson,16,67
Martin Scott,13,60
Sean Murdoch,14,59
Scott Boyd,15,59
Scott McKenna,16,57
Gregg Wylde,15,63
James McPake,13,66
Ruben Palazuelos,15,63
Greg Tansey,16,67
David van Zanten,13,63
Paul Paton,16,62
Jamie Langfield,14,65
Andrew Davies,15,65
David Wotherspoon,13,63
Paul Hanlon,13,62
Kevin Holt,16,56
Ben Hall,16,65
Leigh Griffiths,16,74
Dylan McGowan,13,57
Conor Pepper,13,60
Juan Delgado,16,70
Robbie Muirhead,15,61
Stuart Armstrong,13,65
Conor Townsend,15,61
Willie Dyer,15,59
Keith Lasley,14,68
Scott Brown,16,73
Adam Drury,14,56
Gary Fraser,15,61
Darren Lyon,15,51
Scott Boyd,16,61
Scott Boyd,13,64
Darren McGregor,14,61
David Wotherspoon,14,66
Jamie Reckord,15,57
Callum Ball,14,62
Chris Chantler,14,59
Dylan McGowan,14,58
Cillian Sheridan,12,66
Scott Robertson,14,61
Steven Smith,15,60
Grant Munro,13,62
Greg Kiltie,16,58
Steven Saunders,14,63
Calvin Colquhoun,15,52
Adam Frizzell,16,53
Adam Collin,16,66
Craig Curran,16,62
Efe Ambrose,16,69
Craig Gordon,14,77
Liam Craig,12,68
Jordan Roberts,16,58
Alex Schalk,16,64
Shefki Kuqi,13,63
Marvin Johnson,16,65
Kris Boyd,16,69
Gavin Rae,12,63
Derk Boerrigter,14,70
Jim Goodwin,14,63
Leigh Griffiths,15,72
Grant Gillespie,16,62
Steven Saunders,13,67
Gary Warren,16,66
John Rankin,13,63
Paul Paton,15,63
Thomas Reilly,15,58
Kevin McHattie,16,62
Richie Ryan,13,60
Martin Woods,15,64
Victor Wanyama,12,70
Adam Rooney,14,65
Gregg Wylde,14,64
Alan Maybury,12,66
Dean Brill,15,65
Lee Ashcroft,15,61
Mehdi Taouil,12,69
David Amoo,15,60
Scott Wright,16,54
Aaron Lennox,16,48
